direction_law,sampler,transport_proposal,transport_kappa,transport_steps,gradient_history,projection_probability,replicate,seed,runtime_seconds,ridge_iteration,ridge_found,stop_transport_idx,accepted_transport,transport_logp_gain,transport_endpoint_beta0,transport_endpoint_beta1,transport_endpoint_sigma,transport_endpoint_s,max_abs_beta0_transport,max_abs_beta1_transport,max_sigma_transport,max_s_transport,max_transport_jump,mean_beta0,mean_beta1,mean_sigma,mean_s,final_logp,nfev,output,stdout
kappa,sas,random,10.0,100,3,0.5,0,2026062900,35.51107850007247,12390,True,100,69,44.11411825839423,33.58020109169541,-1.3548413182650991,18951.445543198715,0.0006566817340115448,34.81591148607403,4.1312430620951615,19844.80519170867,0.0007276460554970587,23.478254955402097,-55762.6470007192,1179.5642762366272,13042.694680374065,729.2436941253072,-13873.620909390385,3366382,draws/transport_direction_trials/kappa_00.h5,means: -55762.6  1179.56  13042.7  729.244 | stds: 6942.58 103.573 156.067  233.44 | Number log_density evals: 3366382 | Acceptance rate: 0.980933 | Output: draws/transport_direction_trials/kappa_00.h5
projected,sas,random,10.0,100,3,0.5,0,2026062900,35.11004187492654,55,True,100,54,4632716099937.662,-34011.59497779977,826.3942658987452,14798.880326908544,8.972651682013962e-33,39496.970275695734,930.1893012036364,14798.880326908544,1.0718337282949206,340.69670680691996,-56174.97110701021,1185.7185239539679,13035.466866304929,737.1082166788179,-13872.836057052342,3375051,draws/transport_direction_trials/projected_00.h5,means:  -56175 1185.72 13035.5 737.108 | stds: 7071.16 105.495  175.35 249.275 | Number log_density evals: 3375051 | Acceptance rate: 0.980267 | Output: draws/transport_direction_trials/projected_00.h5
kappa,sas,random,10.0,100,3,0.5,1,2026062901,38.28094862506259,27389,True,100,68,37370.80571190938,-11.328191750516453,-34.2692268994647,20081.50080941103,20.08979484116526,12.224161337127278,42.472328687481166,26016.081316022122,1999465.4784413853,46.18698306071192,-8102.946757613784,469.54060598970557,13181.186663806187,320.1610945324858,-13873.917611665778,3625684,draws/transport_direction_trials/kappa_01.h5,means: -8102.95  469.541  13181.2  320.161 | stds: 17936.7 267.222 176.105 225.518 | Number log_density evals: 3625684 | Acceptance rate: 0.971633 | Output: draws/transport_direction_trials/kappa_01.h5
projected,sas,random,10.0,100,3,0.5,1,2026062901,38.66008358297404,15534,True,100,17,1097768474.459015,-452.8121636683485,-137.24969532637203,8.843563667101833,3.386101359832957e-152,462.9130179588409,137.29408669701658,8.844163957535242,506.51821878162247,79.97306650181457,-52401.11814576884,1129.4452966006486,13046.317867609609,699.959533445431,-13873.044434498855,3706886,draws/transport_direction_trials/projected_01.h5,means: -52401.1  1129.45  13046.3   699.96 | stds: 12629.7 188.421 166.737 249.038 | Number log_density evals: 3706886 | Acceptance rate: 0.9667 | Output: draws/transport_direction_trials/projected_01.h5
kappa,sas,random,10.0,100,3,0.5,2,2026062902,38.17676674993709,20397,True,100,68,203.41289095292632,16.24634270704168,-141.2678163361796,22525.712013765653,9.087602077493866,17.086899133657376,148.9254029475086,24985.930727020765,9.087602077493866,150.18594047184598,-33157.63554773364,842.8251919648583,13105.283937356593,548.3226669595549,-13872.406870803427,3642666,draws/transport_direction_trials/kappa_02.h5,means: -33157.6  842.825  13105.3  548.323 | stds: 25806.5 384.504 178.989 296.832 | Number log_density evals: 3642666 | Acceptance rate: 0.976867 | Output: draws/transport_direction_trials/kappa_02.h5
projected,sas,random,10.0,100,3,0.5,2,2026062902,35.21449250006117,1792,True,100,33,106353537230.04779,-4913.182771018887,-575.6794417025584,35365.32883283531,3.2225977911313966e-101,4921.359548831352,620.9617759024428,35365.32883283531,2.639829382756245,1257.0794108630153,-55375.565018585505,1173.776495899453,13039.981148383284,739.0828799472447,-13872.007060606024,3361310,draws/transport_direction_trials/projected_02.h5,means: -55375.6  1173.78    13040  739.083 | stds: 6904.06 102.976 167.886 248.161 | Number log_density evals: 3361310 | Acceptance rate: 0.981733 | Output: draws/transport_direction_trials/projected_02.h5
kappa,sas,random,10.0,100,3,0.5,3,2026062903,35.10342433396727,8562,True,100,74,2213265.057934965,19.568589107120022,5.044304946615917,18670.675440425737,14.690135090422984,30.96335660150536,10.326793122823327,73820.7994502497,78762865.36193208,26.789583812648637,-54671.912335542154,1163.283691705217,13053.622249635362,717.1363246880736,-13879.335827353252,3359999,draws/transport_direction_trials/kappa_03.h5,means: -54671.9  1163.28  13053.6  717.136 | stds: 6860.16  102.33 189.311 229.037 | Number log_density evals: 3359999 | Acceptance rate: 0.991533 | Output: draws/transport_direction_trials/kappa_03.h5
projected,sas,random,10.0,100,3,0.5,3,2026062903,38.3136632500682,14913,True,100,40,26039964078.96751,-939.3853893865794,-5478.552889488616,114875.55340657903,2.9292385018015477e-29,2845.8214487727764,5486.462347829989,115962.98593320149,1.3984777698626618,56.192116343950694,-55750.67414434412,1179.4170414273383,13042.361563552422,734.8291878921875,-13875.958472717875,3640280,draws/transport_direction_trials/projected_03.h5,means: -55750.7  1179.42  13042.4  734.829 | stds: 6963.44 103.911 169.038 236.202 | Number log_density evals: 3640280 | Acceptance rate: 0.955867 | Output: draws/transport_direction_trials/projected_03.h5
kappa,sas,random,10.0,100,3,0.5,4,2026062904,34.57211545796599,4212,True,100,76,311964575.8348632,44.746589139287686,18.597905969985316,18352.437687062727,1.845851029542931,44.87712867690845,20.806928541863943,379070.179183165,9589065456.918182,23.946810610108574,-55457.35247937027,1174.9957494237974,13009.99578881151,742.4254291594215,-13873.388527094705,3317035,draws/transport_direction_trials/kappa_04.h5,means: -55457.4     1175    13010  742.425 | stds: 6601.75 98.4501 168.949 243.862 | Number log_density evals: 3317035 | Acceptance rate: 0.994267 | Output: draws/transport_direction_trials/kappa_04.h5
projected,sas,random,10.0,100,3,0.5,4,2026062904,35.098376374924555,5241,True,100,40,842782277208.9999,221.20321286979737,73.78526934496676,17076.151343847367,8.579394456277313e-84,231.52987627660806,85.58418856856196,17496.977653527847,0.48438020803893217,19.644651466274876,-55642.446364294905,1177.7097219449263,13053.434784589477,714.3763811988841,-13874.803008792693,3368689,draws/transport_direction_trials/projected_04.h5,means: -55642.4  1177.71  13053.4  714.376 | stds: 6702.93  99.967 163.902 241.748 | Number log_density evals: 3368689 | Acceptance rate: 0.972467 | Output: draws/transport_direction_trials/projected_04.h5
