kappa,sampler,transport_direction,transport_proposal,transport_steps,gradient_history,projection_probability,replicate,seed,runtime_seconds,ridge_iteration,ridge_found,stop_transport_idx,accepted_transport,rho_attempt_count,rho_fallback_count,rho_attempt_mean,rho_attempt_median,rho_attempt_q90,rho_attempt_max,max_abs_beta0_transport,max_abs_beta1_transport,max_sigma_transport,max_s_transport,max_transport_jump,mean_beta0,mean_beta1,mean_sigma,mean_s,final_logp,nfev,output,stdout
10.0,sas,kappa,random,100,3,0.5,0,2026063000,35.67763883306179,11090,True,100,71,100,0,2.78,2.0,5.0,13.0,41.652093539750155,62.89074896675465,18249.217329371113,9.729079646623046e-05,74.3685383369108,-55792.44027312752,1180.0248911101953,13029.321514997315,721.4490054347878,-13874.529627626005,3324909,draws/transport_kappa_trials/kappa_10_00.h5,means: -55792.4  1180.02  13029.3  721.449 | stds: 7030.76  104.88 148.014 234.732 | Number log_density evals: 3324909 | Acceptance rate: 0.983733 | Output: draws/transport_kappa_trials/kappa_10_00.h5
12.0,sas,kappa,random,100,3,0.5,0,2026063000,35.63299008400645,5732,True,100,67,100,0,2.76,2.0,5.0,13.0,41.6518267953535,71.43073292224524,18951.066504375696,0.012513020470789123,74.3685383369108,-54474.87787345077,1160.3590441827478,13041.44948470131,718.1575627732728,-13873.22019096346,3392250,draws/transport_kappa_trials/kappa_12_00.h5,means: -54474.9  1160.36  13041.4  718.158 | stds: 6993.86 104.313 161.977 227.341 | Number log_density evals: 3392250 | Acceptance rate: 0.992067 | Output: draws/transport_kappa_trials/kappa_12_00.h5
15.0,sas,kappa,random,100,3,0.5,0,2026063000,35.68963504198473,8373,True,100,63,100,0,2.85,2.0,5.0,13.0,42.742415973146066,69.54743014957418,18950.305743747253,0.000288100684968545,74.3685383369108,-55101.62164635747,1169.6741883551276,13044.384019918974,724.5380924217158,-13875.294607989068,3348583,draws/transport_kappa_trials/kappa_15_00.h5,means: -55101.6  1169.67  13044.4  724.538 | stds: 7425.44 110.745  172.52 221.249 | Number log_density evals: 3348583 | Acceptance rate: 0.989367 | Output: draws/transport_kappa_trials/kappa_15_00.h5
20.0,sas,kappa,random,100,3,0.5,0,2026063000,38.583033917006105,19134,True,100,75,100,0,3.68,3.0,8.0,24.0,30.639625697064012,24.80722395283512,20178.21768586639,1404.697623346287,39.558270591037214,-40816.21979577116,956.8679828211812,13081.857335173696,595.7942547983712,-13872.887292381723,3661230,draws/transport_kappa_trials/kappa_20_00.h5,means: -40816.2  956.868  13081.9  595.794 | stds: 25763.3 383.882 184.849 306.485 | Number log_density evals: 3661230 | Acceptance rate: 0.980767 | Output: draws/transport_kappa_trials/kappa_20_00.h5
10.0,sas,kappa,random,100,3,0.5,1,2026063001,35.173691874952056,11534,True,100,86,100,0,2.89,2.0,6.0,13.0,37.944090673557305,35.49035123013917,492549.9429829052,87184652.35322045,36.59004875633946,-55147.261822910186,1170.4066369543114,13065.502541780494,711.7707390525123,-13871.889447197256,3346892,draws/transport_kappa_trials/kappa_10_01.h5,means: -55147.3  1170.41  13065.5  711.771 | stds: 7149.65 106.672 159.242 239.149 | Number log_density evals: 3346892 | Acceptance rate: 0.991 | Output: draws/transport_kappa_trials/kappa_10_01.h5
12.0,sas,kappa,random,100,3,0.5,1,2026063001,35.08726958394982,10971,True,100,69,100,0,2.89,2.0,6.0,12.0,267.54738827238964,112.40250744397086,18237.48373983588,87184652.35322045,36.59004875633946,-55262.85818524934,1172.0691399079396,12987.95493625415,705.2927452966453,-13873.318415346628,3350879,draws/transport_kappa_trials/kappa_12_01.h5,means: -55262.9  1172.07    12988  705.293 | stds:  7098.8 105.926 167.756 237.327 | Number log_density evals: 3350879 | Acceptance rate: 0.988167 | Output: draws/transport_kappa_trials/kappa_12_01.h5
15.0,sas,kappa,random,100,3,0.5,1,2026063001,35.037981583038345,2884,True,100,66,100,0,3.45,2.0,7.1000000000000085,16.0,263.8193948104334,103.13358488165696,18237.48373983588,87184652.35322045,36.59004875633946,-54784.163123575585,1164.9712573436545,13025.16106261179,718.3483042693872,-13871.920838645612,3328779,draws/transport_kappa_trials/kappa_15_01.h5,means: -54784.2  1164.97  13025.2  718.348 | stds:  6772.2 100.999 169.715 233.979 | Number log_density evals: 3328779 | Acceptance rate: 0.994567 | Output: draws/transport_kappa_trials/kappa_15_01.h5
20.0,sas,kappa,random,100,3,0.5,1,2026063001,34.93011045793537,3792,True,100,68,100,0,4.17,3.0,8.0,16.0,263.8193948104334,107.30461422457965,18237.48373983588,87184652.35322045,36.59004875633946,-56139.10933684134,1185.1657536863993,13028.37395880033,717.5291199087616,-13871.859525129668,3333770,draws/transport_kappa_trials/kappa_20_01.h5,means: -56139.1  1185.17  13028.4  717.529 | stds:    6927 103.313 158.306  229.05 | Number log_density evals: 3333770 | Acceptance rate: 0.994167 | Output: draws/transport_kappa_trials/kappa_20_01.h5
10.0,sas,kappa,random,100,3,0.5,2,2026063002,35.49253675004002,13366,True,100,60,100,0,2.93,2.0,6.1000000000000085,16.0,3.61624959123323,66.17160157048494,18198.504680428465,0.0029369279423021566,43.68230992365936,-55744.37842820537,1179.2739668497727,13041.969256553191,711.5071353202645,-13875.12340482737,3386696,draws/transport_kappa_trials/kappa_10_02.h5,means: -55744.4  1179.27    13042  711.507 | stds: 7222.88 107.768 167.378 229.921 | Number log_density evals: 3386696 | Acceptance rate: 0.988567 | Output: draws/transport_kappa_trials/kappa_10_02.h5
12.0,sas,kappa,random,100,3,0.5,2,2026063002,38.402580333990045,19559,True,100,70,100,0,3.37,2.0,7.1000000000000085,14.0,11.730310653230381,59.03150367000167,19305.15717281851,15.108672057337483,43.68230992365936,-37123.374271388915,901.8498660635362,13094.02473172915,576.5128215282584,-13873.42437294218,3643710,draws/transport_kappa_trials/kappa_12_02.h5,means: -37123.4   901.85    13094  576.513 | stds: 25687.4 382.669 186.768 300.279 | Number log_density evals: 3643710 | Acceptance rate: 0.9787 | Output: draws/transport_kappa_trials/kappa_12_02.h5
