variant,approximation,proposal,replicate,seed,runtime_seconds,ridge_iteration,ridge_found,stop_transport_idx,accepted_transport,max_abs_beta0_transport,max_abs_beta1_transport,max_sigma_transport,max_s_transport,mean_beta0,mean_beta1,mean_sigma,mean_s,nfev,output,stdout
sas_random,sas,random,0,2026062600,18.186841415939853,7685,True,100,81,690.0609671490527,111.35178198470001,17826.418508283685,1.1717819944620995,-55622.731113523536,1177.4620079513043,13074.696731734935,753.2060670778388,1738158,draws/transport_random_trials/sas_random_00.h5,means: -55622.7  1177.46  13074.7  753.206 | stds: 6747.75  100.64 171.308 220.618 | Number log_density evals: 1738158 | Acceptance rate: 0.9872 | Output: draws/transport_random_trials/sas_random_00.h5
normal_random,normal,random,0,2026062600,22.19270004099235,44,True,100,69,115145917.41303688,1706016.9016754273,780569.7142323276,95997525830033.61,-44823.69028689745,936.223821109166,14957.338052772591,683.4357177390617,2106844,draws/transport_random_trials/normal_random_00.h5,means: -44823.7  936.224  14957.3  683.436 | stds: 26097.8 474.417 16602.2 401.444 | Number log_density evals: 2106844 | Acceptance rate: 0.634833 | Output: draws/transport_random_trials/normal_random_00.h5
sas_random,sas,random,1,2026062601,17.74291670799721,12,True,100,83,4588458.689396198,75898.96202395546,156084.45694062967,74138750091001.16,144.68943432197156,346.94120039764897,13338.681032686442,0.17585890006299862,1664371,draws/transport_random_trials/sas_random_01.h5,means:  144.689  346.941  13338.7 0.175859 | stds:    1694.46    26.9536    379.549 0.00303739 | Number log_density evals: 1664371 | Acceptance rate: 0.400933 | Output: draws/transport_random_trials/sas_random_01.h5
normal_random,normal,random,1,2026062601,18.011577792000026,92,True,100,47,2660730.307141592,29492.257803696262,309232.7465867926,2454249296.1093082,-55421.53185711029,1174.4875436122793,13036.18701119871,726.1497368348284,1697395,draws/transport_random_trials/normal_random_01.h5,means: -55421.5  1174.49  13036.2   726.15 | stds:    6930 103.373 166.804 231.387 | Number log_density evals: 1697395 | Acceptance rate: 0.9464 | Output: draws/transport_random_trials/normal_random_01.h5
sas_random,sas,random,2,2026062602,17.541121166897938,91,True,100,46,1460725.1108470445,25321.79938208364,135593.25691926695,120025050.98275433,-16.392413846322743,348.9513683036377,13240.602399699159,88.63733472551318,1623831,draws/transport_random_trials/sas_random_02.h5,means: -16.3924  348.951  13240.6  88.6373 | stds: 118.343  6.0011 163.827 22.7906 | Number log_density evals: 1623831 | Acceptance rate: 0.915733 | Output: draws/transport_random_trials/sas_random_02.h5
normal_random,normal,random,2,2026062602,18.243797249975614,8792,True,100,86,1035.2890419369796,187.38673361604918,15358.616444427784,0.0017368962995672147,-54845.08188819739,1165.8599727564733,13039.588210947451,721.6803623368804,1718249,draws/transport_random_trials/normal_random_02.h5,means: -54845.1  1165.86  13039.6   721.68 | stds: 7072.33 105.516 170.193 248.149 | Number log_density evals: 1718249 | Acceptance rate: 0.9851 | Output: draws/transport_random_trials/normal_random_02.h5
sas_random,sas,random,3,2026062603,18.981579791055992,7550,True,100,80,154.82532342351232,371.825157922732,29046.32105062404,9.041641321221384e-08,-55873.184476901966,1181.1751520090957,13040.225425315315,714.3245048487578,1818196,draws/transport_random_trials/sas_random_03.h5,means: -55873.2  1181.18  13040.2  714.325 | stds: 7393.02 110.302   146.7 238.814 | Number log_density evals: 1818196 | Acceptance rate: 0.981467 | Output: draws/transport_random_trials/sas_random_03.h5
normal_random,normal,random,3,2026062603,18.94165100005921,14749,True,100,45,1172.9730425770804,131.2849390132872,289.920616101932,14278803.421736598,-55103.383147218614,1169.713747720655,13034.008544092052,736.6191450621787,1793700,draws/transport_random_trials/normal_random_03.h5,means: -55103.4  1169.71    13034  736.619 | stds: 7256.31 108.199 168.012 233.488 | Number log_density evals: 1793700 | Acceptance rate: 0.965867 | Output: draws/transport_random_trials/normal_random_03.h5
sas_random,sas,random,4,2026062604,19.694871917017736,22821,True,100,91,3467.016814150073,287.1883882398742,26693.692926795437,1884631425.3371248,-26111.75012275884,737.7842151626745,13135.23329775044,469.74416222408837,1858338,draws/transport_random_trials/sas_random_04.h5,means: -26111.8  737.784  13135.2  469.744 | stds: 27842.4 414.796 185.972 299.099 | Number log_density evals: 1858338 | Acceptance rate: 0.973333 | Output: draws/transport_random_trials/sas_random_04.h5
normal_random,normal,random,4,2026062604,17.836981541942805,4501,True,100,33,2208482.214861503,23259.249028198632,10855480.640161246,183109768488.06995,-55071.0430443717,1169.2537861875378,13028.450999440092,734.486704489262,1694235,draws/transport_random_trials/normal_random_04.h5,means:  -55071 1169.25 13028.5 734.487 | stds: 6955.71 103.804 165.413 230.981 | Number log_density evals: 1694235 | Acceptance rate: 0.9697 | Output: draws/transport_random_trials/normal_random_04.h5
sas_random,sas,random,5,2026062605,17.813039624947123,4829,True,100,60,297860.6681607118,3044.1114327047717,150128.87066229014,2129998897.0393777,-55148.520497223944,1170.389545890218,13051.372078255956,724.8022331841094,1681054,draws/transport_random_trials/sas_random_05.h5,means: -55148.5  1170.39  13051.4  724.802 | stds: 6842.09 102.063 156.405  231.51 | Number log_density evals: 1681054 | Acceptance rate: 0.981967 | Output: draws/transport_random_trials/sas_random_05.h5
